Feature,Importance
url_length,0.3586249323923902
subdomains,0.20831948898260114
entropy,0.17650204465730748
dot_count,0.09950773178196641
token_count,0.08589174520676897
hyphen_count,0.02837313738644687
uses_https,0.013610970307191028
digit_ratio,0.010628527986873528
url_length_risk_points,0.010572623216996702
tld_score,0.004765830040410348
high_entropy,0.0015567610354113497
has_at_symbol,0.0008441369465828418
brand_mismatch,0.00042946543728454724
lookalike,0.00015145977284413914
punycode,0.000131107538339835
ip_address,8.996302707962068e-05
ascii_lookalike,7.428350505688513e-08
unicode_homograph,0.0
